titles,artists,ids,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Endless Love,Diana Ross,3wsxdW1nMiePnm94almgif,3wsxdW1nMiePnm94almgif,0.375,0.34,10,-11.877,1,0.0294,0.906,0.0442,0.147,0.23,99.943,audio_features,3wsxdW1nMiePnm94almgif,spotify:track:3wsxdW1nMiePnm94almgif,https://api.spotify.com/v1/tracks/3wsxdW1nMiePnm94almgif,https://api.spotify.com/v1/audio-analysis/3wsxdW1nMiePnm94almgif,295880,4
Lady,Kenny Rogers,5Pj5zrq2nbKcAekH1AxbrO,5Pj5zrq2nbKcAekH1AxbrO,0.362,0.183,3,-16.0,0,0.0347,0.861,0.000234,0.0932,0.2,136.646,audio_features,5Pj5zrq2nbKcAekH1AxbrO,spotify:track:5Pj5zrq2nbKcAekH1AxbrO,https://api.spotify.com/v1/tracks/5Pj5zrq2nbKcAekH1AxbrO,https://api.spotify.com/v1/audio-analysis/5Pj5zrq2nbKcAekH1AxbrO,231867,4
(Just Like) Starting Over,John Lennon,5y0YreEOnQiKFAnCrcFIXz,5y0YreEOnQiKFAnCrcFIXz,0.701,0.79,9,-6.16,1,0.0725,0.301,6.06e-05,0.179,0.421,99.104,audio_features,5y0YreEOnQiKFAnCrcFIXz,spotify:track:5y0YreEOnQiKFAnCrcFIXz,https://api.spotify.com/v1/tracks/5y0YreEOnQiKFAnCrcFIXz,https://api.spotify.com/v1/audio-analysis/5y0YreEOnQiKFAnCrcFIXz,236547,4
Jessie's Girl,Rick Springfield,5RsUlxLto4NZbhJpqJbHfN,5RsUlxLto4NZbhJpqJbHfN,0.727,0.834,2,-5.851,1,0.0496,0.165,0.0,0.105,0.816,131.7,audio_features,5RsUlxLto4NZbhJpqJbHfN,spotify:track:5RsUlxLto4NZbhJpqJbHfN,https://api.spotify.com/v1/tracks/5RsUlxLto4NZbhJpqJbHfN,https://api.spotify.com/v1/audio-analysis/5RsUlxLto4NZbhJpqJbHfN,194120,4
Celebration,Kool & the Gang,3K7Q9PHUWPTaknlbFPThn2,3K7Q9PHUWPTaknlbFPThn2,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,audio_features,3K7Q9PHUWPTaknlbFPThn2,spotify:track:3K7Q9PHUWPTaknlbFPThn2,https://api.spotify.com/v1/tracks/3K7Q9PHUWPTaknlbFPThn2,https://api.spotify.com/v1/audio-analysis/3K7Q9PHUWPTaknlbFPThn2,298867,4
Kiss on My List,Hall & Oates,7cDzJyC95jtGO9zAeZsWOg,7cDzJyC95jtGO9zAeZsWOg,0.815,0.741,0,-9.478,1,0.031,0.434,0.115,0.0689,0.965,121.221,audio_features,7cDzJyC95jtGO9zAeZsWOg,spotify:track:7cDzJyC95jtGO9zAeZsWOg,https://api.spotify.com/v1/tracks/7cDzJyC95jtGO9zAeZsWOg,https://api.spotify.com/v1/audio-analysis/7cDzJyC95jtGO9zAeZsWOg,264987,4
I Love a Rainy Night,Eddie Rabbitt,0zvNHIL7ci0ZzIoWU6RO2u,0zvNHIL7ci0ZzIoWU6RO2u,0.685,0.718,0,-7.724,1,0.0521,0.122,0.0,0.0556,0.958,131.463,audio_features,0zvNHIL7ci0ZzIoWU6RO2u,spotify:track:0zvNHIL7ci0ZzIoWU6RO2u,https://api.spotify.com/v1/tracks/0zvNHIL7ci0ZzIoWU6RO2u,https://api.spotify.com/v1/audio-analysis/0zvNHIL7ci0ZzIoWU6RO2u,191067,4
9 To 5,Dolly Parton,4w3tQBXhn5345eUXDGBWZG,4w3tQBXhn5345eUXDGBWZG,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,audio_features,4w3tQBXhn5345eUXDGBWZG,spotify:track:4w3tQBXhn5345eUXDGBWZG,https://api.spotify.com/v1/tracks/4w3tQBXhn5345eUXDGBWZG,https://api.spotify.com/v1/audio-analysis/4w3tQBXhn5345eUXDGBWZG,162467,4
Keep on Loving You,REO Speedwagon,4rcHWl68ai6KvpXlc8vbnE,4rcHWl68ai6KvpXlc8vbnE,0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,audio_features,4rcHWl68ai6KvpXlc8vbnE,spotify:track:4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/tracks/4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/audio-analysis/4rcHWl68ai6KvpXlc8vbnE,200293,4
Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury,375ntCG12wzCyfzclwYFwG,375ntCG12wzCyfzclwYFwG,0.521,0.743,2,-5.903,1,0.0338,0.249,0.0,0.096,0.451,117.129,audio_features,375ntCG12wzCyfzclwYFwG,spotify:track:375ntCG12wzCyfzclwYFwG,https://api.spotify.com/v1/tracks/375ntCG12wzCyfzclwYFwG,https://api.spotify.com/v1/audio-analysis/375ntCG12wzCyfzclwYFwG,195293,4
Morning Train (Nine to Five),Sheena Easton,1qvDt6W8oaTO9Q4pFNMFEm,1qvDt6W8oaTO9Q4pFNMFEm,0.76,0.556,5,-8.872,0,0.0817,0.63,0.0,0.148,0.817,121.818,audio_features,1qvDt6W8oaTO9Q4pFNMFEm,spotify:track:1qvDt6W8oaTO9Q4pFNMFEm,https://api.spotify.com/v1/tracks/1qvDt6W8oaTO9Q4pFNMFEm,https://api.spotify.com/v1/audio-analysis/1qvDt6W8oaTO9Q4pFNMFEm,200827,4
Being with You,Smokey Robinson,5khAYmr8HHFwI3sp0Lw9wp,5khAYmr8HHFwI3sp0Lw9wp,0.649,0.434,0,-9.529,0,0.0267,0.764,2.44e-06,0.0822,0.572,108.754,audio_features,5khAYmr8HHFwI3sp0Lw9wp,spotify:track:5khAYmr8HHFwI3sp0Lw9wp,https://api.spotify.com/v1/tracks/5khAYmr8HHFwI3sp0Lw9wp,https://api.spotify.com/v1/audio-analysis/5khAYmr8HHFwI3sp0Lw9wp,246960,4
Queen of Hearts,Juice Newton,6R6ib5FgDYlG0rPA9c5DVv,6R6ib5FgDYlG0rPA9c5DVv,0.658,0.862,2,-9.963,1,0.0535,0.211,5.44e-05,0.2,0.969,169.532,audio_features,6R6ib5FgDYlG0rPA9c5DVv,spotify:track:6R6ib5FgDYlG0rPA9c5DVv,https://api.spotify.com/v1/tracks/6R6ib5FgDYlG0rPA9c5DVv,https://api.spotify.com/v1/audio-analysis/6R6ib5FgDYlG0rPA9c5DVv,205827,4
Rapture,Blondie,6F2vo4sxRNQ58VYe3pdiaL,6F2vo4sxRNQ58VYe3pdiaL,0.724,0.704,11,-8.258,0,0.0511,0.113,0.00425,0.466,0.96,107.486,audio_features,6F2vo4sxRNQ58VYe3pdiaL,spotify:track:6F2vo4sxRNQ58VYe3pdiaL,https://api.spotify.com/v1/tracks/6F2vo4sxRNQ58VYe3pdiaL,https://api.spotify.com/v1/audio-analysis/6F2vo4sxRNQ58VYe3pdiaL,299373,4
A Woman Needs Love (Just Like You Do),Raydio,3oyMHCAAcnWFdcGuVgwfhd,3oyMHCAAcnWFdcGuVgwfhd,0.592,0.584,7,-7.422,1,0.0305,0.245,0.0,0.0862,0.371,160.048,audio_features,3oyMHCAAcnWFdcGuVgwfhd,spotify:track:3oyMHCAAcnWFdcGuVgwfhd,https://api.spotify.com/v1/tracks/3oyMHCAAcnWFdcGuVgwfhd,https://api.spotify.com/v1/audio-analysis/3oyMHCAAcnWFdcGuVgwfhd,209787,4
The Tide Is High,Blondie,165NAtd2DRPKNQ6EVY0VG9,165NAtd2DRPKNQ6EVY0VG9,0.778,0.667,11,-7.273,1,0.0258,0.0514,0.0312,0.092,0.964,96.954,audio_features,165NAtd2DRPKNQ6EVY0VG9,spotify:track:165NAtd2DRPKNQ6EVY0VG9,https://api.spotify.com/v1/tracks/165NAtd2DRPKNQ6EVY0VG9,https://api.spotify.com/v1/audio-analysis/165NAtd2DRPKNQ6EVY0VG9,233893,4
Just the Two of Us,"Grover Washington, Jr.",1ko2lVN0vKGUl9zrU0qSlT,1ko2lVN0vKGUl9zrU0qSlT,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,audio_features,1ko2lVN0vKGUl9zrU0qSlT,spotify:track:1ko2lVN0vKGUl9zrU0qSlT,https://api.spotify.com/v1/tracks/1ko2lVN0vKGUl9zrU0qSlT,https://api.spotify.com/v1/audio-analysis/1ko2lVN0vKGUl9zrU0qSlT,438493,4
Slow Hand,The Pointer Sisters,3fvDLsiTHPQNgzuMd3Mpb5,3fvDLsiTHPQNgzuMd3Mpb5,0.826,0.558,6,-7.766,1,0.0322,0.403,1.94e-05,0.0631,0.359,110.77,audio_features,3fvDLsiTHPQNgzuMd3Mpb5,spotify:track:3fvDLsiTHPQNgzuMd3Mpb5,https://api.spotify.com/v1/tracks/3fvDLsiTHPQNgzuMd3Mpb5,https://api.spotify.com/v1/audio-analysis/3fvDLsiTHPQNgzuMd3Mpb5,231960,4
I Love You,Climax Blues Band,3VyJPsb2ucaaVptLSDpJNH,3VyJPsb2ucaaVptLSDpJNH,0.559,0.446,10,-8.805,1,0.0349,0.608,0.000131,0.0902,0.239,131.792,audio_features,3VyJPsb2ucaaVptLSDpJNH,spotify:track:3VyJPsb2ucaaVptLSDpJNH,https://api.spotify.com/v1/tracks/3VyJPsb2ucaaVptLSDpJNH,https://api.spotify.com/v1/audio-analysis/3VyJPsb2ucaaVptLSDpJNH,245452,4
Woman,John Lennon,0GGxVTb0UwDwdaKNjBdCn3,0GGxVTb0UwDwdaKNjBdCn3,0.588,0.656,3,-6.373,1,0.0224,0.378,0.00227,0.042,0.746,79.701,audio_features,0GGxVTb0UwDwdaKNjBdCn3,spotify:track:0GGxVTb0UwDwdaKNjBdCn3,https://api.spotify.com/v1/tracks/0GGxVTb0UwDwdaKNjBdCn3,https://api.spotify.com/v1/audio-analysis/0GGxVTb0UwDwdaKNjBdCn3,212933,4
Sukiyaki,A Taste of Honey,4FwOQZ6L39ZyHYwmPwlJZw,4FwOQZ6L39ZyHYwmPwlJZw,0.552,0.387,3,-10.147,1,0.031,0.85,1.65e-05,0.113,0.227,135.874,audio_features,4FwOQZ6L39ZyHYwmPwlJZw,spotify:track:4FwOQZ6L39ZyHYwmPwlJZw,https://api.spotify.com/v1/tracks/4FwOQZ6L39ZyHYwmPwlJZw,https://api.spotify.com/v1/audio-analysis/4FwOQZ6L39ZyHYwmPwlJZw,225067,4
The Winner Takes It All,ABBA,3oEkrIfXfSh9zGnE7eBzSV,3oEkrIfXfSh9zGnE7eBzSV,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,audio_features,3oEkrIfXfSh9zGnE7eBzSV,spotify:track:3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/tracks/3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/audio-analysis/3oEkrIfXfSh9zGnE7eBzSV,294720,4
