titles,artists,ids,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Forever,Lil Baby Featuring Fridayy,1T4k0sw0HldDg004Kw4Oct,1T4k0sw0HldDg004Kw4Oct,0.462,0.251,4,-12.072,0,0.159,0.414,0.0,0.201,0.137,89.705,audio_features,1T4k0sw0HldDg004Kw4Oct,spotify:track:1T4k0sw0HldDg004Kw4Oct,https://api.spotify.com/v1/tracks/1T4k0sw0HldDg004Kw4Oct,https://api.spotify.com/v1/audio-analysis/1T4k0sw0HldDg004Kw4Oct,167977,3
Igualito A Mi Apa,Fuerza Regida & Peso Pluma,17js0w8GTkTUFGFM6PYvBd,17js0w8GTkTUFGFM6PYvBd,0.758,0.812,4,-3.272,0,0.0854,0.188,0.0,0.0564,0.795,144.908,audio_features,17js0w8GTkTUFGFM6PYvBd,spotify:track:17js0w8GTkTUFGFM6PYvBd,https://api.spotify.com/v1/tracks/17js0w8GTkTUFGFM6PYvBd,https://api.spotify.com/v1/audio-analysis/17js0w8GTkTUFGFM6PYvBd,166821,4
Special,Lizzo Featuring SZA,0rc1HCVoReqzzXF9jssqZk,0rc1HCVoReqzzXF9jssqZk,0.464,0.724,7,-5.019,1,0.0705,0.0188,0.0,0.679,0.303,82.526,audio_features,0rc1HCVoReqzzXF9jssqZk,spotify:track:0rc1HCVoReqzzXF9jssqZk,https://api.spotify.com/v1/tracks/0rc1HCVoReqzzXF9jssqZk,https://api.spotify.com/v1/audio-analysis/0rc1HCVoReqzzXF9jssqZk,174749,4
5 Leaf Clover,Luke Combs,2RbIoEQeXBoJzWt09eitEI,2RbIoEQeXBoJzWt09eitEI,0.423,0.58,1,-4.959,1,0.0243,0.0554,2.92e-06,0.168,0.336,82.755,audio_features,2RbIoEQeXBoJzWt09eitEI,spotify:track:2RbIoEQeXBoJzWt09eitEI,https://api.spotify.com/v1/tracks/2RbIoEQeXBoJzWt09eitEI,https://api.spotify.com/v1/audio-analysis/2RbIoEQeXBoJzWt09eitEI,211053,3
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,4nrPB8O7Y7wsOCJdgXkthe,4nrPB8O7Y7wsOCJdgXkthe,0.778,0.632,2,-5.6,0,0.0493,0.274,0.0,0.0915,0.498,122.104,audio_features,4nrPB8O7Y7wsOCJdgXkthe,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/tracks/4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/audio-analysis/4nrPB8O7Y7wsOCJdgXkthe,218289,4
Heaven,Niall Horan,1yHVHoz6Ny29gbbWJYVnFt,1yHVHoz6Ny29gbbWJYVnFt,0.571,0.761,5,-3.485,1,0.0261,0.0708,0.0,0.331,0.681,91.991,audio_features,1yHVHoz6Ny29gbbWJYVnFt,spotify:track:1yHVHoz6Ny29gbbWJYVnFt,https://api.spotify.com/v1/tracks/1yHVHoz6Ny29gbbWJYVnFt,https://api.spotify.com/v1/audio-analysis/1yHVHoz6Ny29gbbWJYVnFt,186043,4
Don't Play With It,Lola Brooke X Latto X Yung Miami Or Featuring Billy B,7rl489EKnUgITmkBd6P9zi,7rl489EKnUgITmkBd6P9zi,0.776,0.688,1,-5.75,1,0.127,0.00645,0.0,0.0757,0.43,99.122,audio_features,7rl489EKnUgITmkBd6P9zi,spotify:track:7rl489EKnUgITmkBd6P9zi,https://api.spotify.com/v1/tracks/7rl489EKnUgITmkBd6P9zi,https://api.spotify.com/v1/audio-analysis/7rl489EKnUgITmkBd6P9zi,179533,4
Memory Lane,Old Dominion,5kB6WithhB8Iv08EMNmAbt,5kB6WithhB8Iv08EMNmAbt,0.645,0.8,6,-4.272,1,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,audio_features,5kB6WithhB8Iv08EMNmAbt,spotify:track:5kB6WithhB8Iv08EMNmAbt,https://api.spotify.com/v1/tracks/5kB6WithhB8Iv08EMNmAbt,https://api.spotify.com/v1/audio-analysis/5kB6WithhB8Iv08EMNmAbt,172480,4
Love Again,The Kid LAROI,4sx6NRwL6Ol3V6m9exwGlQ,4sx6NRwL6Ol3V6m9exwGlQ,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,audio_features,4sx6NRwL6Ol3V6m9exwGlQ,spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,https://api.spotify.com/v1/tracks/4sx6NRwL6Ol3V6m9exwGlQ,https://api.spotify.com/v1/audio-analysis/4sx6NRwL6Ol3V6m9exwGlQ,145850,4
'98 Braves,Morgan Wallen,3oZ6dlSfCE9gZ55MGPJctc,3oZ6dlSfCE9gZ55MGPJctc,0.488,0.67,2,-5.759,1,0.0268,0.0969,0.00022,0.257,0.484,142.139,audio_features,3oZ6dlSfCE9gZ55MGPJctc,spotify:track:3oZ6dlSfCE9gZ55MGPJctc,https://api.spotify.com/v1/tracks/3oZ6dlSfCE9gZ55MGPJctc,https://api.spotify.com/v1/audio-analysis/3oZ6dlSfCE9gZ55MGPJctc,178704,4
Di Que Si,Grupo Marca Registrada X Grupo Frontera,0kzN7YAMSbmlHOvxlbQW9y,0kzN7YAMSbmlHOvxlbQW9y,0.57,0.589,9,-5.378,1,0.0488,0.0753,0.0,0.0582,0.796,182.318,audio_features,0kzN7YAMSbmlHOvxlbQW9y,spotify:track:0kzN7YAMSbmlHOvxlbQW9y,https://api.spotify.com/v1/tracks/0kzN7YAMSbmlHOvxlbQW9y,https://api.spotify.com/v1/audio-analysis/0kzN7YAMSbmlHOvxlbQW9y,190554,4
It Matters To Her,Scotty McCreery,4aSRUXfKuBbmje0eXNukuL,4aSRUXfKuBbmje0eXNukuL,0.516,0.752,7,-5.09,1,0.0333,0.00528,3.78e-05,0.251,0.482,105.007,audio_features,4aSRUXfKuBbmje0eXNukuL,spotify:track:4aSRUXfKuBbmje0eXNukuL,https://api.spotify.com/v1/tracks/4aSRUXfKuBbmje0eXNukuL,https://api.spotify.com/v1/audio-analysis/4aSRUXfKuBbmje0eXNukuL,171880,4
